yManufStd,yHlthStd,Intercept,Mkt.RF,SMB,HML,RMW,CMA,MOM
-1.408283705,-1.515914524,1,-1.467284405,0.363730013,-0.057379594,1.015592568,1.004558151,1.067858908
-1.998334577,-1.458408715,1,-1.916845737,-2.112778147,-0.275145245,0.693197346,0.345087008,1.01142068
2.949203054,2.399380244,1,2.865181216,1.745151994,0.32679548,-1.709475086,-0.228792597,-0.805419238
0.024982793,0.37581145,1,0.258365166,0.41575374,0.126293704,-0.049904502,-0.052400103,-0.075904703
-1.286892093,-0.120298478,1,-1.158703569,-0.299038605,0.401364289,1.248911063,2.291465279,1.193407009
1.549977792,1.531450876,1,1.331564183,-0.313732495,0.920331748,-0.993042533,0.958293096,-0.388975898
-0.23163738,-0.106534451,1,-0.297773971,-0.130771051,-0.293304131,0.423542871,0.155073002,0.212843687
0.429244199,0.122166269,1,0.584686166,-0.491062895,0.53591747,-1.095889156,-0.342417054,-1.23038131
0.090185567,0.575719505,1,0.381830137,0.698716052,0.161580494,-1.635517056,0.87571936,-0.882835053
0.589279394,0.396548646,1,0.748837619,0.457619462,-0.074452176,-0.242337075,-0.941789599,-1.073118326
0.04357267,0.131309384,1,0.067484721,1.346300096,-1.040576821,0.016177766,-1.523645196,-0.460397729
0.554099815,0.552690399,1,0.889301994,1.2932814,0.269947067,-1.571710163,-0.079803089,-0.711150502
-0.060770281,-0.587857147,1,-0.15646977,-1.340409434,-0.224013982,0.596062517,-0.03527849,0.32650649
0.612952204,0.274701721,1,0.542033165,0.297403517,0.275796201,0.053803976,-0.035892756,-0.293945634
0.266393778,-0.099955634,1,0.038217579,-0.479019548,-0.634473679,0.39739489,-0.679626545,0.304655121
-0.415860376,-0.094732561,1,-0.04674559,-2.654645333,0.289454254,0.584524814,0.963325644,0.415554452
