yManuf,yHlth,Intercept,Mkt.RF,SMB,HML,RMW,CMA,MOM
0.012233103,-0.004129146,1,0.003040005,-0.009677196,-0.005718518,-0.006792191,-0.008872569,0.021302572
-0.032846371,-0.028353505,1,-0.038509335,-0.01016937,-0.011352436,-0.002016891,0.000695758,0.029790853
0.026031003,0.010566784,1,0.021887544,0.003547657,-0.00381621,0.011616995,0.006697403,0.013157012
-0.011244102,-0.01057348,1,-0.016230914,-0.010797733,-0.018887356,-0.000918873,0.000278574,0.021397253
-0.017147165,-0.021122049,1,-0.036696115,0.006084148,0.012864698,0.008015758,0.001274783,-0.008342728
-0.016308281,0.014501782,1,0.002048698,-0.010192125,-0.005610227,0.002689902,-0.00526078,-0.006461111
0.002131401,-0.011067583,1,-0.014804811,-0.002625676,-0.001808409,0.015170791,0.001091073,0.017137227
0.017424041,0.033782113,1,0.027939698,-0.014248788,-0.00475489,-0.009368395,-0.001816172,-0.006089865
0.029442402,-0.000208895,1,0.017284789,0.003647393,0.001796428,0.003703289,-0.003099459,0.010143691
-0.012153514,-0.025843473,1,-0.026198587,-0.012548026,-0.005895043,0.00419615,-0.002726742,0.038161423
0.019872171,0.005040343,1,0.012170752,0.023467732,-0.005107769,0.006497483,0.002184926,0.006010674
0.004240948,-0.01276062,1,-0.004833451,-0.012010714,0.0006969,-0.002005176,-0.008275709,0.018590464
-0.034634402,-0.02408311,1,-0.047402875,-0.016335421,0.000984222,-0.002205963,-0.004601754,0.022943194
-0.023398397,0.049027074,1,-0.01110617,-0.016514762,-0.005263751,0.003653702,0.009792781,-0.014893444
-0.067279308,-0.048339154,1,-0.05178136,0.01070528,-0.001210719,-0.003647738,0.006574674,-0.012417935
0.001999232,-0.043308185,1,0.006518345,0.014254718,0.025806355,0.013742102,0.007550002,-0.060844244
0.045419707,0.028095474,1,0.050293391,0.010581486,0.024077676,-0.00204437,0.001684045,-0.055731318
-0.029324413,-0.023930715,1,-0.042936861,0.003079689,0.000480117,-0.003119755,-0.000418886,0.036925365
0.028635634,0.010303322,1,0.012646487,-0.011621635,-0.001123938,-0.001711263,-0.000922308,0.018486676
0.014309682,-0.010791259,1,0.000864783,-0.006824056,0.000572715,0.016258724,-0.001705128,0.001596165
